,class1 precision,class1 recall,class2 precision,class2 recall,class3 precision,class3 recall,class4 precision,class4 recall,K平均值,K標準差,D平均值,D標準差,SMA平均值,SMA標準差,RSI平均值,RSI標準差,MACD平均值,MACD標準差,(一天漲跌)平均值,(一天漲跌)標準差
1101台泥,0.745,0.677,0.509,0.539,0.525,0.579,0.731,0.672,51.67,23.615,51.643,20.731,37.057,5.1,50.769,20.466,0.006,0.573,-0.019,0.529
1102亞泥,0.763,0.735,0.563,0.603,0.538,0.562,0.735,0.671,53.677,24.872,53.655,22.125,33.828,4.697,51.738,21.235,0.004,0.532,-0.007,0.43
1201味全,0.742,0.693,0.623,0.777,0.333,0.05,0.741,0.786,45.27,22.95,45.23,20.302,30.584,10.871,48.189,22.187,-0.073,0.674,-0.048,0.545
1203味王,0.76,0.694,0.539,0.6,0.592,0.722,0.732,0.524,46.077,19.572,46.084,17.075,23.224,1.901,50.458,19.322,0.003,0.233,0.0,0.256
1303南亞,0.782,0.77,0.507,0.431,0.551,0.683,0.784,0.669,54.78,25.365,54.783,22.415,67.456,8.755,52.125,21.189,0.06,1.009,0.016,0.851
1409新纖,0.771,0.626,0.688,0.855,0.525,0.323,0.705,0.732,46.502,21.931,46.503,19.352,10.392,1.667,50.478,19.483,0.009,0.194,-0.017,0.171
1503士電,0.734,0.81,,0.0,0.647,0.839,0.772,0.557,54.862,21.923,54.841,19.298,38.131,2.889,50.427,19.057,0.001,0.281,0.045,0.352
1504東元,0.699,0.603,0.543,0.688,0.485,0.448,0.701,0.597,51.417,22.857,51.406,19.86,24.58,6.002,51.064,18.921,0.015,0.355,-0.022,0.373
1603華電,0.736,0.665,0.607,0.746,0.563,0.55,0.711,0.601,46.373,21.397,46.41,18.865,14.833,6.16,49.917,20.255,0.036,0.301,-0.007,0.257
1604聲寶,0.696,0.701,0.638,0.638,0.632,0.726,0.758,0.614,50.599,23.369,50.584,20.906,11.647,3.402,52.488,23.045,0.027,0.186,-0.002,0.139
1316上曜,0.734,0.657,0.627,0.8,0.478,0.369,0.712,0.614,44.08,21.881,44.09,19.246,15.617,5.819,48.048,22.844,0.013,0.585,-0.032,0.385
1701中化,0.776,0.642,0.645,0.858,,0.0,0.776,0.74,44.652,21.325,44.616,18.681,20.624,2.808,49.623,20.015,-0.016,0.354,-0.042,0.31
1802台玻,0.748,0.656,0.575,0.746,0.534,0.428,0.751,0.641,46.616,23.898,46.588,21.127,24.234,9.008,49.138,20.763,-0.039,0.567,-0.025,0.467
1806冠軍,0.766,0.731,0.685,0.85,0.562,0.301,0.704,0.637,44.556,21.084,44.551,18.525,11.984,5.779,48.52,21.021,-0.036,0.268,-0.027,0.255
1902台紙,0.72,0.676,0.58,0.691,0.603,0.664,0.723,0.509,46.149,21.877,46.12,19.303,13.075,3.389,49.343,21.007,0.028,0.249,-0.005,0.221
1903士紙,0.726,0.743,0.582,0.649,0.543,0.571,0.736,0.591,45.341,21.697,45.311,19.129,43.511,13.242,47.694,19.552,-0.131,0.784,-0.026,0.738
